long,lat,red,green,blue
34.95,-11.456199999999999,36,36,42
34.975,-11.456199999999999,34,34,41
35,-11.456199999999999,31,31,46
35.025,-11.456199999999999,28,28,47
35.05,-11.456199999999999,37,30,38
35.075,-11.456199999999999,40,31,36
35.1,-11.456199999999999,39,32,37
35.125,-11.456199999999999,41,30,36
35.15,-11.456199999999999,42,28,34
35.175,-11.456199999999999,43,25,33
35.2,-11.456199999999999,49,24,28
35.225,-11.456199999999999,50,25,27
35.25,-11.456199999999999,50,25,27
35.275,-11.456199999999999,54,21,25
35.35,-11.456199999999999,60,19,21
35.375,-11.456199999999999,52,25,28
35.45,-11.456199999999999,46,32,34
35.475,-11.456199999999999,52,29,29
35.5,-11.456199999999999,54,26,27
35.575,-11.456199999999999,57,23,24
35.6,-11.456199999999999,56,24,24
35.65,-11.456199999999999,59,22,23
34.7,-11.4187,31,31,40
34.925,-11.4187,35,35,41
34.95,-11.4187,36,36,41
34.975,-11.4187,33,33,44
35,-11.4187,27,27,51
35.025,-11.4187,27,26,50
35.05,-11.4187,35,32,41
35.075,-11.4187,39,34,39
35.1,-11.4187,37,32,40
35.125,-11.4187,41,30,37
35.15,-11.4187,45,28,33
35.175,-11.4187,47,25,31
35.2,-11.4187,50,25,28
35.225,-11.4187,51,24,28
35.25,-11.4187,53,24,28
35.275,-11.4187,51,22,28
35.325,-11.4187,53,20,27
35.35,-11.4187,57,20,23
35.375,-11.4187,60,21,23
35.45,-11.4187,57,24,24
35.475,-11.4187,54,28,28
35.5,-11.4187,58,25,26
35.55,-11.4187,60,23,23
35.575,-11.4187,57,27,27
35.6,-11.4187,60,23,23
35.65,-11.4187,61,22,23
35.675,-11.4187,58,24,24
35.7,-11.4187,59,23,23
36.7,-11.4187,39,31,31
34.925,-11.3812,36,36,42
34.95,-11.3812,35,35,43
34.975,-11.3812,30,30,47
35,-11.3812,25,24,53
35.025,-11.3812,30,27,47
35.05,-11.3812,39,33,38
35.075,-11.3812,40,36,40
35.1,-11.3812,39,32,40
35.125,-11.3812,42,30,37
35.15,-11.3812,47,28,33
35.175,-11.3812,51,26,29
35.2,-11.3812,49,25,31
35.225,-11.3812,47,23,34
35.25,-11.3812,51,23,31
35.275,-11.3812,52,21,30
35.325,-11.3812,60,18,23
35.35,-11.3812,59,20,23
35.375,-11.3812,63,18,20
35.4,-11.3812,58,23,25
35.425,-11.3812,60,23,24
35.45,-11.3812,60,23,24
35.475,-11.3812,70,15,16
35.55,-11.3812,58,24,25
35.575,-11.3812,64,22,22
35.675,-11.3812,55,28,28
35.7,-11.3812,59,24,24
34.875,-11.3437,36,36,43
34.9,-11.3437,37,37,42
34.925,-11.3437,37,37,43
34.95,-11.3437,35,35,43
34.975,-11.3437,32,32,48
35,-11.3437,31,31,50
35.025,-11.3437,37,32,42
35.05,-11.3437,41,33,39
35.075,-11.3437,43,33,38
35.1,-11.3437,43,33,38
35.125,-11.3437,44,30,36
35.15,-11.3437,47,30,34
35.175,-11.3437,50,29,32
35.2,-11.3437,53,26,29
35.225,-11.3437,52,24,31
35.25,-11.3437,53,22,31
35.275,-11.3437,56,21,26
35.3,-11.3437,58,21,25
35.325,-11.3437,58,21,24
35.35,-11.3437,62,21,23
35.375,-11.3437,63,22,23
35.4,-11.3437,56,27,28
35.425,-11.3437,64,22,22
35.45,-11.3437,71,14,15
35.475,-11.3437,69,16,16
35.55,-11.3437,65,19,20
35.575,-11.3437,68,17,17
35.65,-11.3437,63,22,22
35.675,-11.3437,52,32,33
35.7,-11.3437,60,27,27
35.775,-11.3437,69,17,17
36.725,-11.3437,44,28,28
36.775,-11.3437,39,31,31
34.875,-11.3062,35,35,44
34.9,-11.3062,34,34,45
34.925,-11.3062,35,35,44
34.95,-11.3062,37,37,44
34.975,-11.3062,36,36,45
35,-11.3062,34,34,47
35.025,-11.3062,30,30,51
35.05,-11.3062,25,21,55
35.075,-11.3062,40,28,40
35.1,-11.3062,44,32,37
35.125,-11.3062,46,30,36
35.15,-11.3062,47,32,35
35.175,-11.3062,51,29,33
35.2,-11.3062,53,27,31
35.225,-11.3062,56,24,28
35.25,-11.3062,55,23,27
35.275,-11.3062,58,23,27
35.3,-11.3062,61,24,26
35.325,-11.3062,62,21,24
35.35,-11.3062,71,15,16
35.45,-11.3062,58,28,29
35.475,-11.3062,58,29,31
35.5,-11.3062,72,15,15
35.55,-11.3062,74,13,14
35.65,-11.3062,68,21,21
35.675,-11.3062,62,26,26
35.7,-11.3062,70,17,17
35.75,-11.3062,70,16,16
35.775,-11.3062,68,18,18
35.8,-11.3062,76,12,12
36.775,-11.3062,40,31,31
34.8,-11.268699999999999,32,32,45
34.9,-11.268699999999999,30,30,50
34.925,-11.268699999999999,34,34,46
34.95,-11.268699999999999,38,38,45
34.975,-11.268699999999999,37,37,45
35,-11.268699999999999,29,29,53
35.1,-11.268699999999999,40,24,42
35.125,-11.268699999999999,49,26,34
35.15,-11.268699999999999,52,25,31
35.175,-11.268699999999999,54,29,32
35.2,-11.268699999999999,54,27,31
35.225,-11.268699999999999,56,25,29
35.25,-11.268699999999999,59,26,28
35.275,-11.268699999999999,61,21,26
35.3,-11.268699999999999,62,23,26
35.325,-11.268699999999999,63,22,24
35.475,-11.268699999999999,57,31,32
35.5,-11.268699999999999,71,18,18
35.575,-11.268699999999999,77,12,13
35.625,-11.268699999999999,79,10,11
35.65,-11.268699999999999,66,22,22
35.675,-11.268699999999999,70,18,19
35.7,-11.268699999999999,75,13,13
35.75,-11.268699999999999,70,18,18
35.775,-11.268699999999999,66,22,22
36.775,-11.268699999999999,43,30,30
36.8,-11.268699999999999,43,30,30
34.9,-11.2312,33,33,48
34.925,-11.2312,36,36,46
34.95,-11.2312,38,38,45
34.975,-11.2312,31,31,52
35,-11.2312,15,15,70
35.1,-11.2312,29,19,54
35.125,-11.2312,46,25,37
35.15,-11.2312,55,24,28
35.175,-11.2312,58,26,29
35.2,-11.2312,58,27,29
35.225,-11.2312,59,25,27
35.25,-11.2312,59,26,29
35.275,-11.2312,59,26,28
35.3,-11.2312,63,24,26
35.325,-11.2312,74,14,15
35.475,-11.2312,65,24,25
35.5,-11.2312,80,10,10
35.55,-11.2312,63,26,27
35.575,-11.2312,77,16,16
35.65,-11.2312,67,24,24
35.675,-11.2312,75,13,14
35.7,-11.2312,80,11,12
35.725,-11.2312,78,13,13
35.75,-11.2312,71,19,19
35.775,-11.2312,67,23,23
35.8,-11.2312,75,16,16
35.85,-11.2312,80,10,10
35.875,-11.2312,81,10,10
35.9,-11.2312,80,10,10
35.975,-11.2312,77,12,12
36.775,-11.2312,45,29,29
36.8,-11.2312,43,30,30
37.025,-11.2312,34,33,33
34.9,-11.1937,38,38,45
34.925,-11.1937,38,38,45
34.95,-11.1937,32,32,52
35.1,-11.1937,27,19,56
35.125,-11.1937,50,28,36
35.15,-11.1937,59,25,29
35.175,-11.1937,55,22,31
35.2,-11.1937,59,24,29
35.225,-11.1937,63,24,26
35.25,-11.1937,62,25,28
35.275,-11.1937,62,25,28
35.3,-11.1937,67,22,24
35.325,-11.1937,82,9,10
35.55,-11.1937,75,16,17
35.575,-11.1937,73,18,19
35.6,-11.1937,84,9,9
35.625,-11.1937,85,8,8
35.65,-11.1937,68,22,24
35.675,-11.1937,75,17,17
35.7,-11.1937,78,15,15
35.725,-11.1937,74,18,18
35.75,-11.1937,72,20,20
35.775,-11.1937,70,20,20
35.8,-11.1937,81,10,10
35.85,-11.1937,81,11,11
35.875,-11.1937,83,10,10
35.9,-11.1937,84,8,8
35.975,-11.1937,84,9,9
36.95,-11.1937,38,31,31
37.025,-11.1937,34,33,33
34.9,-11.1562,39,39,46
34.925,-11.1562,38,38,46
34.95,-11.1562,31,31,54
35.075,-11.1562,28,23,57
35.1,-11.1562,40,29,47
35.125,-11.1562,50,28,37
35.15,-11.1562,59,26,30
35.175,-11.1562,61,22,29
35.2,-11.1562,63,22,26
35.225,-11.1562,65,22,24
35.25,-11.1562,66,22,25
35.275,-11.1562,74,16,18
35.3,-11.1562,81,10,11
35.325,-11.1562,83,8,9
35.35,-11.1562,85,8,8
35.375,-11.1562,86,7,8
35.575,-11.1562,85,10,10
35.6,-11.1562,85,8,8
35.625,-11.1562,80,13,13
35.65,-11.1562,71,22,23
35.675,-11.1562,73,22,22
35.7,-11.1562,76,18,18
35.725,-11.1562,71,21,21
35.75,-11.1562,74,20,20
35.775,-11.1562,76,16,16
35.8,-11.1562,81,12,12
35.825,-11.1562,84,11,11
35.85,-11.1562,78,16,16
35.875,-11.1562,78,14,14
35.9,-11.1562,83,9,9
35.925,-11.1562,84,8,8
35.95,-11.1562,83,10,10
35.975,-11.1562,78,13,13
36.95,-11.1562,40,30,30
37.05,-11.1562,34,34,34
34.9,-11.1187,39,39,47
34.925,-11.1187,40,40,47
34.95,-11.1187,37,37,51
34.975,-11.1187,21,21,67
35.075,-11.1187,38,28,49
35.1,-11.1187,47,33,42
35.125,-11.1187,52,31,37
35.15,-11.1187,57,31,35
35.175,-11.1187,61,25,30
35.2,-11.1187,67,22,24
35.225,-11.1187,66,20,23
35.25,-11.1187,72,13,19
35.275,-11.1187,74,11,16
35.3,-11.1187,81,10,12
35.35,-11.1187,85,8,8
35.375,-11.1187,88,7,7
35.45,-11.1187,95,2,3
35.625,-11.1187,91,6,6
35.65,-11.1187,80,14,14
35.675,-11.1187,82,15,15
35.7,-11.1187,83,12,12
35.725,-11.1187,76,18,18
35.75,-11.1187,74,20,20
35.775,-11.1187,81,15,15
35.8,-11.1187,82,15,15
35.825,-11.1187,82,12,12
35.85,-11.1187,84,10,10
35.875,-11.1187,83,12,12
35.9,-11.1187,85,10,10
35.925,-11.1187,88,7,7
35.95,-11.1187,87,8,8
35.975,-11.1187,85,9,9
36,-11.1187,88,6,6
36.725,-11.1187,60,20,20
36.8,-11.1187,54,24,24
36.85,-11.1187,48,28,28
36.95,-11.1187,42,31,31
36.975,-11.1187,39,31,31
37,-11.1187,37,32,32
37.05,-11.1187,35,35,35
34.8,-11.081199999999999,34,34,49
34.9,-11.081199999999999,40,40,47
34.925,-11.081199999999999,41,41,47
34.95,-11.081199999999999,41,41,48
34.975,-11.081199999999999,37,37,52
35,-11.081199999999999,20,20,71
35.025,-11.081199999999999,15,13,73
35.05,-11.081199999999999,21,18,66
35.075,-11.081199999999999,33,25,55
35.1,-11.081199999999999,44,29,47
35.125,-11.081199999999999,50,31,39
35.15,-11.081199999999999,59,31,35
35.175,-11.081199999999999,62,28,32
35.2,-11.081199999999999,67,21,25
35.225,-11.081199999999999,63,20,32
35.25,-11.081199999999999,51,8,44
35.275,-11.081199999999999,56,8,38
35.3,-11.081199999999999,75,8,20
35.325,-11.081199999999999,82,7,13
35.35,-11.081199999999999,86,9,10
35.375,-11.081199999999999,88,7,7
35.425,-11.081199999999999,94,3,3
35.45,-11.081199999999999,92,4,5
35.475,-11.081199999999999,94,3,4
35.55,-11.081199999999999,96,3,3
35.575,-11.081199999999999,88,8,8
35.6,-11.081199999999999,85,10,10
35.625,-11.081199999999999,83,12,12
35.65,-11.081199999999999,86,11,11
35.675,-11.081199999999999,80,19,19
35.7,-11.081199999999999,82,15,15
35.725,-11.081199999999999,82,15,15
35.75,-11.081199999999999,78,18,18
35.775,-11.081199999999999,78,18,18
35.8,-11.081199999999999,82,14,14
35.825,-11.081199999999999,81,15,15
35.85,-11.081199999999999,82,12,12
35.875,-11.081199999999999,86,11,11
35.9,-11.081199999999999,86,9,9
35.925,-11.081199999999999,84,11,11
35.95,-11.081199999999999,86,11,11
35.975,-11.081199999999999,90,6,6
36.025,-11.081199999999999,90,5,5
36.05,-11.081199999999999,94,3,3
36.1,-11.081199999999999,90,5,5
36.325,-11.081199999999999,81,10,10
36.85,-11.081199999999999,53,26,26
36.875,-11.081199999999999,49,26,26
36.9,-11.081199999999999,46,28,28
36.95,-11.081199999999999,46,28,28
36.975,-11.081199999999999,40,30,30
37,-11.081199999999999,39,32,32
37.025,-11.081199999999999,38,33,33
37.05,-11.081199999999999,35,35,35
37.075,-11.081199999999999,34,33,33
34.75,-11.0437,33,33,50
34.8,-11.0437,32,32,53
34.9,-11.0437,41,41,48
34.925,-11.0437,41,41,48
34.95,-11.0437,41,41,48
34.975,-11.0437,41,41,50
35,-11.0437,35,35,55
35.025,-11.0437,32,25,57
35.05,-11.0437,28,20,62
35.075,-11.0437,36,26,55
35.1,-11.0437,42,26,50
35.125,-11.0437,52,31,39
35.15,-11.0437,61,29,33
35.175,-11.0437,63,27,31
35.2,-11.0437,65,23,28
35.225,-11.0437,60,18,33
35.25,-11.0437,47,9,47
35.275,-11.0437,62,9,32
35.3,-11.0437,76,10,18
35.325,-11.0437,84,8,13
35.35,-11.0437,91,6,7
35.375,-11.0437,91,4,5
35.4,-11.0437,93,5,6
35.425,-11.0437,93,6,6
35.45,-11.0437,92,5,5
35.475,-11.0437,95,3,4
35.55,-11.0437,90,6,7
35.575,-11.0437,86,11,11
35.6,-11.0437,88,9,9
35.625,-11.0437,92,5,5
35.65,-11.0437,95,4,4
35.675,-11.0437,88,11,11
35.7,-11.0437,79,20,20
35.725,-11.0437,79,17,17
35.75,-11.0437,82,16,16
35.775,-11.0437,86,12,12
35.8,-11.0437,88,9,9
35.825,-11.0437,84,12,12
35.85,-11.0437,88,8,8
35.875,-11.0437,88,10,10
35.9,-11.0437,89,9,9
35.925,-11.0437,89,10,10
35.95,-11.0437,88,10,10
35.975,-11.0437,91,5,5
36.025,-11.0437,92,4,4
36.05,-11.0437,91,6,6
36.075,-11.0437,88,9,9
36.15,-11.0437,94,3,3
36.2,-11.0437,94,3,3
36.225,-11.0437,93,4,4
36.25,-11.0437,83,10,10
36.3,-11.0437,85,8,8
36.375,-11.0437,82,9,9
37,-11.0437,40,30,30
37.025,-11.0437,36,34,34
37.05,-11.0437,35,33,33
37.075,-11.0437,34,33,33
34.9,-11.0062,41,41,49
34.925,-11.0062,43,43,50
34.95,-11.0062,43,43,49
34.975,-11.0062,42,42,50
35,-11.0062,42,39,49
35.025,-11.0062,42,35,48
35.05,-11.0062,39,35,52
35.075,-11.0062,41,31,51
35.1,-11.0062,47,30,47
35.125,-11.0062,57,30,37
35.15,-11.0062,63,28,32
35.175,-11.0062,65,25,31
35.2,-11.0062,63,19,33
35.225,-11.0062,70,16,25
35.25,-11.0062,61,12,34
35.275,-11.0062,74,12,23
35.3,-11.0062,80,13,17
35.325,-11.0062,86,10,11
35.35,-11.0062,89,8,8
35.375,-11.0062,90,7,7
35.4,-11.0062,92,7,7
35.425,-11.0062,90,7,7
35.45,-11.0062,93,6,6
35.475,-11.0062,92,5,5
35.5,-11.0062,92,5,5
35.525,-11.0062,90,11,11
35.55,-11.0062,86,13,13
35.575,-11.0062,82,14,14
35.6,-11.0062,85,12,12
35.625,-11.0062,94,7,7
35.65,-11.0062,95,6,6
35.675,-11.0062,94,5,5
35.7,-11.0062,89,9,9
35.725,-11.0062,88,11,11
35.75,-11.0062,86,14,14
35.775,-11.0062,91,9,9
35.8,-11.0062,90,11,11
35.825,-11.0062,89,12,12
35.85,-11.0062,85,13,13
35.875,-11.0062,92,7,7
35.9,-11.0062,89,9,9
35.925,-11.0062,90,8,8
35.95,-11.0062,93,5,5
35.975,-11.0062,95,4,4
36,-11.0062,92,6,6
36.025,-11.0062,94,5,5
36.05,-11.0062,94,4,4
36.075,-11.0062,93,6,6
36.1,-11.0062,94,3,3
36.175,-11.0062,92,5,5
36.2,-11.0062,94,3,3
36.25,-11.0062,89,6,6
36.3,-11.0062,88,6,6
36.325,-11.0062,88,7,7
36.35,-11.0062,80,14,14
36.375,-11.0062,79,14,14
36.625,-11.0062,73,14,14
36.7,-11.0062,68,16,16
37.025,-11.0062,38,32,32
37.05,-11.0062,36,33,33
37.075,-11.0062,37,32,32
34.875,-10.9687,41,41,49
34.9,-10.9687,43,43,50
34.925,-10.9687,42,42,50
34.95,-10.9687,43,43,50
34.975,-10.9687,43,43,50
35,-10.9687,43,43,51
35.025,-10.9687,46,42,49
35.05,-10.9687,50,37,44
35.075,-10.9687,47,36,48
35.1,-10.9687,50,34,44
35.125,-10.9687,56,31,38
35.15,-10.9687,61,30,34
35.175,-10.9687,61,23,34
35.2,-10.9687,48,14,48
35.225,-10.9687,55,15,42
35.25,-10.9687,50,12,46
35.275,-10.9687,55,11,42
35.3,-10.9687,69,13,29
35.325,-10.9687,81,14,17
35.35,-10.9687,84,13,14
35.375,-10.9687,85,12,14
35.4,-10.9687,88,11,12
35.425,-10.9687,90,9,10
35.45,-10.9687,89,10,11
35.475,-10.9687,91,8,8
35.5,-10.9687,91,8,9
35.525,-10.9687,94,7,7
35.55,-10.9687,89,10,10
35.575,-10.9687,86,13,13
35.6,-10.9687,90,11,11
35.625,-10.9687,91,9,9
35.65,-10.9687,95,6,6
35.675,-10.9687,85,15,15
35.7,-10.9687,78,22,22
35.725,-10.9687,95,6,6
35.75,-10.9687,99,2,2
35.775,-10.9687,88,13,13
35.8,-10.9687,83,17,17
35.825,-10.9687,92,9,9
35.85,-10.9687,95,7,7
35.875,-10.9687,94,6,6
35.9,-10.9687,93,7,7
35.925,-10.9687,93,6,6
35.95,-10.9687,95,5,5
35.975,-10.9687,97,4,4
36,-10.9687,97,4,4
36.025,-10.9687,95,3,3
36.05,-10.9687,96,3,3
36.075,-10.9687,99,2,2
36.1,-10.9687,99,1,1
36.125,-10.9687,98,1,1
36.2,-10.9687,95,3,3
36.25,-10.9687,93,4,4
36.35,-10.9687,88,6,6
36.4,-10.9687,83,11,11
36.6,-10.9687,78,11,11
36.65,-10.9687,78,11,11
36.775,-10.9687,60,22,22
36.9,-10.9687,54,23,23
37.025,-10.9687,39,33,33
37.05,-10.9687,36,35,35
34.85,-10.9312,42,42,49
34.875,-10.9312,41,41,49
34.9,-10.9312,42,42,49
34.925,-10.9312,43,43,50
34.95,-10.9312,44,44,51
34.975,-10.9312,44,44,51
35,-10.9312,45,45,51
35.025,-10.9312,45,45,52
35.05,-10.9312,45,42,50
35.075,-10.9312,47,44,51
35.1,-10.9312,52,37,43
35.125,-10.9312,54,32,40
35.15,-10.9312,59,29,38
35.175,-10.9312,59,24,38
35.2,-10.9312,42,14,55
35.225,-10.9312,40,10,60
35.25,-10.9312,35,9,61
35.275,-10.9312,27,9,71
35.3,-10.9312,52,15,48
35.325,-10.9312,70,20,28
35.35,-10.9312,68,16,30
35.375,-10.9312,76,15,25
35.4,-10.9312,89,12,13
35.425,-10.9312,88,11,12
35.45,-10.9312,87,14,15
35.475,-10.9312,87,14,15
35.5,-10.9312,90,11,11
35.525,-10.9312,90,11,11
35.55,-10.9312,86,13,13
35.575,-10.9312,87,16,16
35.6,-10.9312,74,28,28
35.625,-10.9312,66,34,34
35.65,-10.9312,81,22,22
35.675,-10.9312,80,24,24
35.7,-10.9312,89,16,16
35.725,-10.9312,88,15,15
35.75,-10.9312,85,17,17
35.775,-10.9312,89,14,14
35.8,-10.9312,94,9,9
35.825,-10.9312,99,4,4
35.85,-10.9312,102,2,2
35.875,-10.9312,99,4,4
35.9,-10.9312,100,3,3
35.925,-10.9312,98,4,4
35.95,-10.9312,98,4,4
35.975,-10.9312,99,3,3
36,-10.9312,99,4,4
36.025,-10.9312,96,4,4
36.05,-10.9312,98,3,3
36.075,-10.9312,101,2,2
36.1,-10.9312,99,2,2
36.125,-10.9312,99,1,1
36.15,-10.9312,93,4,4
36.175,-10.9312,97,3,3
36.2,-10.9312,96,2,2
36.225,-10.9312,96,2,2
36.275,-10.9312,96,2,2
36.325,-10.9312,90,6,6
36.35,-10.9312,89,7,7
36.4,-10.9312,88,6,6
36.425,-10.9312,83,10,10
36.575,-10.9312,77,13,13
36.6,-10.9312,70,18,18
36.65,-10.9312,78,11,11
36.675,-10.9312,75,13,13
36.7,-10.9312,67,19,19
36.725,-10.9312,70,16,16
36.75,-10.9312,64,19,19
36.775,-10.9312,59,24,24
36.8,-10.9312,61,20,20
36.9,-10.9312,58,22,22
36.925,-10.9312,52,26,26
36.95,-10.9312,47,31,31
36.975,-10.9312,44,30,30
37,-10.9312,42,32,32
37.025,-10.9312,38,34,34
37.05,-10.9312,38,31,31
37.075,-10.9312,36,32,32
37.125,-10.9312,34,33,33
34.775,-10.893699999999999,39,39,49
34.8,-10.893699999999999,40,40,49
34.825,-10.893699999999999,39,39,52
34.85,-10.893699999999999,41,41,50
34.875,-10.893699999999999,43,43,49
34.9,-10.893699999999999,43,43,51
34.925,-10.893699999999999,44,44,51
34.95,-10.893699999999999,44,44,51
34.975,-10.893699999999999,45,45,52
35,-10.893699999999999,45,45,52
35.025,-10.893699999999999,46,46,53
35.05,-10.893699999999999,48,45,51
35.075,-10.893699999999999,49,44,50
35.1,-10.893699999999999,54,38,44
35.125,-10.893699999999999,56,35,43
35.15,-10.893699999999999,57,28,39
35.175,-10.893699999999999,56,22,41
35.2,-10.893699999999999,47,15,53
35.225,-10.893699999999999,39,11,61
35.25,-10.893699999999999,36,17,62
35.275,-10.893699999999999,36,13,63
35.3,-10.893699999999999,41,14,57
35.325,-10.893699999999999,47,13,52
35.35,-10.893699999999999,56,15,44
35.375,-10.893699999999999,66,16,34
35.4,-10.893699999999999,83,17,20
35.425,-10.893699999999999,83,18,19
35.45,-10.893699999999999,81,20,21
35.475,-10.893699999999999,88,15,16
35.5,-10.893699999999999,91,12,12
35.525,-10.893699999999999,90,12,12
35.55,-10.893699999999999,85,20,20
35.575,-10.893699999999999,83,21,21
35.6,-10.893699999999999,86,17,17
35.625,-10.893699999999999,84,19,19
35.65,-10.893699999999999,89,16,16
35.675,-10.893699999999999,88,16,16
35.7,-10.893699999999999,82,22,22
35.725,-10.893699999999999,95,9,9
35.75,-10.893699999999999,99,4,4
35.775,-10.893699999999999,96,8,8
35.8,-10.893699999999999,100,7,7
35.825,-10.893699999999999,103,2,2
35.85,-10.893699999999999,103,2,2
35.875,-10.893699999999999,99,5,5
35.9,-10.893699999999999,96,8,8
35.925,-10.893699999999999,99,4,4
35.95,-10.893699999999999,100,2,2
35.975,-10.893699999999999,98,2,2
36,-10.893699999999999,100,3,3
36.025,-10.893699999999999,101,2,2
36.05,-10.893699999999999,99,2,2
36.075,-10.893699999999999,102,2,2
36.1,-10.893699999999999,98,3,3
36.125,-10.893699999999999,100,2,2
36.15,-10.893699999999999,98,1,1
36.175,-10.893699999999999,99,1,1
36.2,-10.893699999999999,98,3,3
36.225,-10.893699999999999,97,4,4
36.25,-10.893699999999999,96,4,4
36.275,-10.893699999999999,97,3,3
36.3,-10.893699999999999,95,3,3
36.325,-10.893699999999999,95,4,4
36.35,-10.893699999999999,93,4,4
36.375,-10.893699999999999,93,4,4
36.425,-10.893699999999999,84,10,10
36.45,-10.893699999999999,86,7,7
36.475,-10.893699999999999,84,10,10
36.5,-10.893699999999999,87,8,8
36.525,-10.893699999999999,86,7,7
36.55,-10.893699999999999,81,12,12
36.575,-10.893699999999999,74,16,16
36.6,-10.893699999999999,75,14,14
36.625,-10.893699999999999,77,12,12
36.65,-10.893699999999999,75,14,14
36.675,-10.893699999999999,75,13,13
36.7,-10.893699999999999,69,18,18
36.725,-10.893699999999999,66,19,19
36.75,-10.893699999999999,62,23,23
36.775,-10.893699999999999,59,24,24
36.8,-10.893699999999999,66,18,18
36.825,-10.893699999999999,66,18,18
36.85,-10.893699999999999,61,20,20
36.875,-10.893699999999999,66,17,17
36.925,-10.893699999999999,49,29,29
36.95,-10.893699999999999,47,31,31
36.975,-10.893699999999999,50,26,26
37.025,-10.893699999999999,46,29,29
37.05,-10.893699999999999,40,31,31
34.75,-10.8562,27,27,62
34.775,-10.8562,40,40,50
34.8,-10.8562,36,36,56
34.825,-10.8562,35,35,57
34.85,-10.8562,41,41,52
34.875,-10.8562,44,44,51
34.9,-10.8562,44,44,52
34.925,-10.8562,45,45,52
34.95,-10.8562,45,45,52
34.975,-10.8562,46,46,53
35,-10.8562,47,47,54
35.025,-10.8562,46,46,52
35.05,-10.8562,51,42,49
35.075,-10.8562,49,45,51
35.1,-10.8562,51,36,49
35.125,-10.8562,57,37,44
35.15,-10.8562,58,33,42
35.175,-10.8562,58,26,42
35.2,-10.8562,55,20,45
35.225,-10.8562,46,25,54
35.25,-10.8562,51,30,51
35.275,-10.8562,43,20,58
35.3,-10.8562,30,12,70
35.325,-10.8562,29,9,70
35.35,-10.8562,35,11,66
35.375,-10.8562,61,16,43
35.4,-10.8562,73,27,31
35.425,-10.8562,70,34,37
35.45,-10.8562,67,38,41
35.475,-10.8562,86,19,20
35.5,-10.8562,87,17,17
35.525,-10.8562,88,17,17
35.55,-10.8562,83,21,21
35.575,-10.8562,87,19,19
35.6,-10.8562,88,17,17
35.625,-10.8562,90,14,14
35.65,-10.8562,94,14,14
35.675,-10.8562,96,11,11
35.7,-10.8562,97,8,8
35.725,-10.8562,104,0,0
35.75,-10.8562,103,4,4
35.775,-10.8562,102,5,5
35.8,-10.8562,103,4,4
35.825,-10.8562,106,1,1
35.85,-10.8562,103,2,2
35.875,-10.8562,99,6,6
35.9,-10.8562,99,6,6
35.925,-10.8562,105,2,2
